HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"7 lane 66 Le Loi Street, Hue Vietnam",26,93,51,N/A,Hue Garden Villa Hotel,$34 ,$16 ,$16 - $34,"Which popular attractions are close to Hue Garden Villa Hotel?, ,What are some of the property amenities at Hue Garden Villa Hotel?, ,Which room amenities are available at Hue Garden Villa Hotel?, ,What food & drink options are available at Hue Garden Villa Hotel?, ,Is parking available at Hue Garden Villa Hotel?, ,What are some restaurants close to Hue Garden Villa Hotel?, ,Are there opportunities to exercise at Hue Garden Villa Hotel?, ,Does Hue Garden Villa Hotel have airport transportation?, ,Are any cleaning services offered at Hue Garden Villa Hotel?, ,Are there any historical sites close to Hue Garden Villa Hotel?, ",8,169,#12 of 183 B&Bs / Inns in Hue,45,20,152,Excellent,20,"Centrally Located,Family",5,https://www.tripadvisor.com/Hotel_Review-g293926-d12145190-Reviews-Hue_Garden_Villa_Hotel-Hue_Thua_Thien_Hue_Province.html
"7/4 Chu Van An Street, Hue 530000 Vietnam",27,93,54,Vietnamese,Minh Tam Guest House,$22 ,$11 ,$11 - $22,"Which popular attractions are close to Minh Tam Guest House?, ,What are some of the property amenities at Minh Tam Guest House?, ,Which room amenities are available at Minh Tam Guest House?, ,Is parking available at Minh Tam Guest House?, ,What are some restaurants close to Minh Tam Guest House?, ,Does Minh Tam Guest House have airport transportation?, ,Are there any historical sites close to Minh Tam Guest House?, ",7,178,#2 of 183 B&Bs / Inns in Hue,50,N/A,143,Excellent,7,"Budget,Centrally Located",5,https://www.tripadvisor.com/Hotel_Review-g293926-d4004144-Reviews-Minh_Tam_Guest_House-Hue_Thua_Thien_Hue_Province.html
"66 9, Le Loi Street, Hue Vietnam",27,93,9,N/A,CANH TIEN Guest house,$16 ,$16 ,$16 - $16,"Which popular attractions are close to CANH TIEN Guest house?, ,What are some of the property amenities at CANH TIEN Guest house?, ,What food & drink options are available at CANH TIEN Guest house?, ,What are some restaurants close to CANH TIEN Guest house?, ,Does CANH TIEN Guest house have airport transportation?, ,Are pets allowed at CANH TIEN Guest house?, ,Are there any historical sites close to CANH TIEN Guest house?, ",18,181,#13 of 183 B&Bs / Inns in Hue,45,N/A,162,Excellent,12,"Business,Centrally Located",1,https://www.tripadvisor.com/Hotel_Review-g293926-d1181429-Reviews-CANH_TIEN_Guest_house-Hue_Thua_Thien_Hue_Province.html
"08 Nguyen Huu Tho St, Hue 84 Vietnam",4,66,98,"English, Vietnamese",Victory Hotel,$26 ,$20 ,$20 - $26,"Which popular attractions are close to Victory Hotel?, ,What are some of the property amenities at Victory Hotel?, ,Which room amenities are available at Victory Hotel?, ,What food & drink options are available at Victory Hotel?, ,Is parking available at Victory Hotel?, ,What are some restaurants close to Victory Hotel?, ,Does Victory Hotel have airport transportation?, ,Are any cleaning services offered at Victory Hotel?, ,Which languages are spoken by the staff at Victory Hotel?, ",74,189,#56 of 209 hotels in Hue,45,30,18,Excellent,22,"Modern,Centrally Located",2,https://www.tripadvisor.com/Hotel_Review-g293926-d1062956-Reviews-Victory_Hotel-Hue_Thua_Thien_Hue_Province.html
"Phong Son, Phong Dien, Hue 530000 Vietnam",N/A,N/A,411,Vietnamese,Alba Wellness Resort by Fusion,$284 ,$122 ,$122 - $284,"What are some of the property amenities at Alba Wellness Resort by Fusion?, ,Which room amenities are available at Alba Wellness Resort by Fusion?, ,What food & drink options are available at Alba Wellness Resort by Fusion?, ,Is parking available at Alba Wellness Resort by Fusion?, ,Are there opportunities to exercise at Alba Wellness Resort by Fusion?, ,Does Alba Wellness Resort by Fusion have an airport shuttle?, ,Does Alba Wellness Resort by Fusion have airport transportation?, ,Are any cleaning services offered at Alba Wellness Resort by Fusion?, ",65,194,#3 of 209 hotels in Hue,50,N/A,N/A,Excellent,N/A,"Romantic,Great View",41,https://www.tripadvisor.com/Hotel_Review-g293926-d13438952-Reviews-Alba_Wellness_Resort_by_Fusion-Hue_Thua_Thien_Hue_Province.html
"78 Le Loi Street, Hue Vietnam",27,94,17,"English, Vietnamese",Tran Ly,$21 ,$11 ,$11 - $21,"Which popular attractions are close to Tran Ly?, ,What are some of the property amenities at Tran Ly?, ,Which room amenities are available at Tran Ly?, ,What food & drink options are available at Tran Ly?, ,Is parking available at Tran Ly?, ,What are some restaurants close to Tran Ly?, ,Are there opportunities to exercise at Tran Ly?, ,Are any cleaning services offered at Tran Ly?, ,Which languages are spoken by the staff at Tran Ly?, ",19,191,#62 of 209 hotels in Hue,45,20,138,Excellent,184,"Budget,Centrally Located",2,https://www.tripadvisor.com/Hotel_Review-g293926-d1178693-Reviews-Tran_Ly-Hue_Thua_Thien_Hue_Province.html
"7/3 Chu Van An, Hue Vietnam",27,93,26,"English, Japanese, Vietnamese",Sunny Fine Guesthouse,$18 ,$10 ,$10 - $18,"Which popular attractions are close to Sunny Fine Guesthouse?, ,What are some of the property amenities at Sunny Fine Guesthouse?, ,Which room amenities are available at Sunny Fine Guesthouse?, ,What are some restaurants close to Sunny Fine Guesthouse?, ,Does Sunny Fine Guesthouse have an airport shuttle?, ,Does Sunny Fine Guesthouse have airport transportation?, ,Which languages are spoken by the staff at Sunny Fine Guesthouse?, ",9,205,#4 of 267 Specialty lodging in Hue,50,N/A,140,Excellent,7,"Budget,Charming",9,https://www.tripadvisor.com/Hotel_Review-g293926-d7698497-Reviews-Sunny_Fine_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"37 Nguyen Cong Tru street, Hue 530000 Vietnam",26,92,65,N/A,Canary Hotel,$22 ,$14 ,$14 - $22,"Which popular attractions are close to Canary Hotel?, ,What are some of the property amenities at Canary Hotel?, ,What food & drink options are available at Canary Hotel?, ,Is parking available at Canary Hotel?, ,What are some restaurants close to Canary Hotel?, ,Does Canary Hotel have an airport shuttle?, ,Does Canary Hotel have airport transportation?, ,Are any cleaning services offered at Canary Hotel?, ,Are pets allowed at Canary Hotel?, ,Are there any historical sites close to Canary Hotel?, ",38,205,#57 of 209 hotels in Hue,45,20,140,Excellent,25,Centrally Located,7,https://www.tripadvisor.com/Hotel_Review-g293926-d1790391-Reviews-Canary_Hotel-Hue_Thua_Thien_Hue_Province.html
"52, Alley 42, Nguyen Cong Tru Street, Hue Vietnam",27,92,31,"English, Vietnamese",IBIZA Hostel,$15 ,$11 ,$11 - $15,"Which popular attractions are close to IBIZA Hostel?, ,What are some of the property amenities at IBIZA Hostel?, ,What food & drink options are available at IBIZA Hostel?, ,Is parking available at IBIZA Hostel?, ,What are some restaurants close to IBIZA Hostel?, ,Does IBIZA Hostel have airport transportation?, ,Are any cleaning services offered at IBIZA Hostel?, ,Which languages are spoken by the staff at IBIZA Hostel?, ",19,206,#2 of 267 Specialty lodging in Hue,50,N/A,165,Excellent,5,"Family,Charming",3,https://www.tripadvisor.com/Hotel_Review-g293926-d13136178-Reviews-IBIZA_Hostel-Hue_Thua_Thien_Hue_Province.html
"28A / 42 Nguyen Cong Tru, Hue 47000 Vietnam",26,92,25,N/A,Grace Hotel,$18 ,$11 ,$11 - $18,"Which popular attractions are close to Grace Hotel?, ,What are some of the property amenities at Grace Hotel?, ,What food & drink options are available at Grace Hotel?, ,What are some restaurants close to Grace Hotel?, ,Are there any historical sites close to Grace Hotel?, ",12,208,#15 of 183 B&Bs / Inns in Hue,45,N/A,137,Excellent,12,Budget,2,https://www.tripadvisor.com/Hotel_Review-g293926-d6973085-Reviews-Grace_Hotel-Hue_Thua_Thien_Hue_Province.html
"08 Nguyen Cong Tru street, Hue 53000 Vietnam",26,94,31,"English, French, Vietnamese",Home Hotel,$17 ,$16 ,$16 - $17,"Which popular attractions are close to Home Hotel?, ,What are some of the property amenities at Home Hotel?, ,Which room amenities are available at Home Hotel?, ,What food & drink options are available at Home Hotel?, ,Is parking available at Home Hotel?, ,What are some restaurants close to Home Hotel?, ,Does Home Hotel have an airport shuttle?, ,Does Home Hotel have airport transportation?, ,Are any cleaning services offered at Home Hotel?, ,Which languages are spoken by the staff at Home Hotel?, ,Are there any historical sites close to Home Hotel?, ",19,226,#32 of 209 hotels in Hue,45,30,135,Excellent,12,"Charming,Centrally Located",8,https://www.tripadvisor.com/Hotel_Review-g293926-d7893473-Reviews-Home_Hotel-Hue_Thua_Thien_Hue_Province.html
"17/34 Nguyen Tri Phuong St, Hue 054 Vietnam",16,97,31,N/A,Original Binh Duong 1 Hotel,N/A,N/A,N/A,"Which popular attractions are close to Original Binh Duong 1 Hotel?, ,What are some of the property amenities at Original Binh Duong 1 Hotel?, ,Which room amenities are available at Original Binh Duong 1 Hotel?, ,What food & drink options are available at Original Binh Duong 1 Hotel?, ,Is parking available at Original Binh Duong 1 Hotel?, ,What are some restaurants close to Original Binh Duong 1 Hotel?, ,Does Original Binh Duong 1 Hotel have an airport shuttle?, ,Is Original Binh Duong 1 Hotel located near the city center?, ,Are any cleaning services offered at Original Binh Duong 1 Hotel?, ,Are pets allowed at Original Binh Duong 1 Hotel?, ",58,224,#47 of 209 hotels in Hue,45,20,99,Excellent,24,N/A,2,https://www.tripadvisor.com/Hotel_Review-g293926-d1947769-Reviews-Original_Binh_Duong_1_Hotel-Hue_Thua_Thien_Hue_Province.html
"Phong Dien District, Thua Thien Hue Province 30 km north from Hue City, Phong Son Vietnam",N/A,N/A,140,"English, Vietnamese",Thanh Tan Hot Springs by Fusion,$68 ,$47 ,$47 - $68,"What are some of the property amenities at Thanh Tan Hot Springs by Fusion?, ,Which room amenities are available at Thanh Tan Hot Springs by Fusion?, ,What food & drink options are available at Thanh Tan Hot Springs by Fusion?, ,Is parking available at Thanh Tan Hot Springs by Fusion?, ,Are there opportunities to exercise at Thanh Tan Hot Springs by Fusion?, ,Does Thanh Tan Hot Springs by Fusion have an airport shuttle?, ,Does Thanh Tan Hot Springs by Fusion have airport transportation?, ,Are any cleaning services offered at Thanh Tan Hot Springs by Fusion?, ,Are pets allowed at Thanh Tan Hot Springs by Fusion?, ,Which languages are spoken by the staff at Thanh Tan Hot Springs by Fusion?, ,Does Thanh Tan Hot Springs by Fusion have any great views?, ",18,229,N/A,40,30,N/A,Very good,26,N/A,12,https://www.tripadvisor.com/Hotel_Review-g12454720-d3318041-Reviews-Thanh_Tan_Hot_Springs_by_Fusion-Phong_Son_Thua_Thien_Hue_Province.html
"2/10 Vo Thi Sau Street, Hue 00000 Vietnam",27,92,36,"English, Japanese, Vietnamese",Sunshine Hostel 3 Hue,$19 ,$11 ,$11 - $19,"Which popular attractions are close to Sunshine Hostel 3 Hue?, ,What are some of the property amenities at Sunshine Hostel 3 Hue?, ,What food & drink options are available at Sunshine Hostel 3 Hue?, ,Is parking available at Sunshine Hostel 3 Hue?, ,What are some restaurants close to Sunshine Hostel 3 Hue?, ,Are there opportunities to exercise at Sunshine Hostel 3 Hue?, ,Does Sunshine Hostel 3 Hue have an airport shuttle?, ,Does Sunshine Hostel 3 Hue have airport transportation?, ,Are any cleaning services offered at Sunshine Hostel 3 Hue?, ,Are pets allowed at Sunshine Hostel 3 Hue?, ,Which languages are spoken by the staff at Sunshine Hostel 3 Hue?, ",28,248,#12 of 267 Specialty lodging in Hue,45,10,155,Excellent,3,"Family,Budget",3,https://www.tripadvisor.com/Hotel_Review-g293926-d4353596-Reviews-Sunshine_Hostel_3_Hue-Hue_Thua_Thien_Hue_Province.html
"17/34 Nguyen Tri Phuong Phu Hoi, Hue 530000 Vietnam",12,93,45,"English, Japanese, Vietnamese",Sunny A Hotel,$18 ,$10 ,$10 - $18,"Which popular attractions are close to Sunny A Hotel?, ,What are some of the property amenities at Sunny A Hotel?, ,Is parking available at Sunny A Hotel?, ,What are some restaurants close to Sunny A Hotel?, ,Does Sunny A Hotel have an airport shuttle?, ,Does Sunny A Hotel have airport transportation?, ,Is Sunny A Hotel located near the city center?, ,Are any cleaning services offered at Sunny A Hotel?, ,Which languages are spoken by the staff at Sunny A Hotel?, ,Are there any historical sites close to Sunny A Hotel?, ",66,250,#21 of 209 hotels in Hue,45,20,98,Excellent,30,"Budget,Quiet",1,https://www.tripadvisor.com/Hotel_Review-g293926-d5961031-Reviews-Sunny_A_Hotel-Hue_Thua_Thien_Hue_Province.html
"21 Doi cung, Hue 84 Vietnam",29,94,47,"English, Vietnamese",DMZ Hotel,$17 ,$13 ,$13 - $17,"Which popular attractions are close to DMZ Hotel?, ,What are some of the property amenities at DMZ Hotel?, ,Which room amenities are available at DMZ Hotel?, ,What food & drink options are available at DMZ Hotel?, ,Is parking available at DMZ Hotel?, ,What are some restaurants close to DMZ Hotel?, ,Does DMZ Hotel have an airport shuttle?, ,Does DMZ Hotel have airport transportation?, ,Is DMZ Hotel located near the city center?, ,Are any cleaning services offered at DMZ Hotel?, ",11,252,#68 of 209 hotels in Hue,40,20,187,Very good,39,"Budget,Modern",5,https://www.tripadvisor.com/Hotel_Review-g293926-d1751166-Reviews-DMZ_Hotel-Hue_Thua_Thien_Hue_Province.html
"6a/34 Nguyen Tri Phuong St, Hue Vietnam",10,93,28,"English, Vietnamese",Ngoc Binh Hotel,$13 ,$11 ,$11 - $13,"Which popular attractions are close to Ngoc Binh Hotel?, ,What are some of the property amenities at Ngoc Binh Hotel?, ,What food & drink options are available at Ngoc Binh Hotel?, ,Is parking available at Ngoc Binh Hotel?, ,What are some restaurants close to Ngoc Binh Hotel?, ,Does Ngoc Binh Hotel have airport transportation?, ,Is Ngoc Binh Hotel located near the city center?, ,Which languages are spoken by the staff at Ngoc Binh Hotel?, ,Are there any historical sites close to Ngoc Binh Hotel?, ",22,250,#46 of 209 hotels in Hue,40,20,97,Very good,18,"Budget,Quiet",3,https://www.tripadvisor.com/Hotel_Review-g293926-d1778116-Reviews-Ngoc_Binh_Hotel-Hue_Thua_Thien_Hue_Province.html
"26 Pham Ngu Lao Street, Hue 530000 Vietnam",26,94,43,"English, French, Vietnamese",Why Not Hostel,$21 ,$14 ,$14 - $21,"Which popular attractions are close to Why Not Hostel?, ,What are some of the property amenities at Why Not Hostel?, ,What food & drink options are available at Why Not Hostel?, ,Is parking available at Why Not Hostel?, ,What are some restaurants close to Why Not Hostel?, ,Does Why Not Hostel have an airport shuttle?, ,Does Why Not Hostel have airport transportation?, ,Are any cleaning services offered at Why Not Hostel?, ,Which languages are spoken by the staff at Why Not Hostel?, ",23,252,#8 of 267 Specialty lodging in Hue,45,10,172,Excellent,14,"Centrally Located,Budget",17,https://www.tripadvisor.com/Hotel_Review-g293926-d1650568-Reviews-Why_Not_Hostel-Hue_Thua_Thien_Hue_Province.html
"15 Pham Ngu Lao, Hue Vietnam",27,93,113,"English, Vietnamese",Beaulieu Boutique Hotel,$39 ,$14 ,$14 - $39,"Which popular attractions are close to Beaulieu Boutique Hotel?, ,What are some of the property amenities at Beaulieu Boutique Hotel?, ,Which room amenities are available at Beaulieu Boutique Hotel?, ,What food & drink options are available at Beaulieu Boutique Hotel?, ,What are some restaurants close to Beaulieu Boutique Hotel?, ,Does Beaulieu Boutique Hotel have airport transportation?, ,Are any cleaning services offered at Beaulieu Boutique Hotel?, ,Which languages are spoken by the staff at Beaulieu Boutique Hotel?, ,Are there any historical sites close to Beaulieu Boutique Hotel?, ",11,259,#8 of 183 B&Bs / Inns in Hue,45,20,172,Excellent,N/A,"Centrally Located,Business",9,https://www.tripadvisor.com/Hotel_Review-g293926-d12491608-Reviews-Beaulieu_Boutique_Hotel-Hue_Thua_Thien_Hue_Province.html
"35 /42 Nguyen Cong Tru Street, Hue Vietnam",27,91,36,"English, French, Chinese, Czech",Homeland Hotel Hue,$15 ,$11 ,$11 - $15,"Which popular attractions are close to Homeland Hotel Hue?, ,What are some of the property amenities at Homeland Hotel Hue?, ,Which room amenities are available at Homeland Hotel Hue?, ,What food & drink options are available at Homeland Hotel Hue?, ,Is parking available at Homeland Hotel Hue?, ,What are some restaurants close to Homeland Hotel Hue?, ,Does Homeland Hotel Hue have an airport shuttle?, ,Does Homeland Hotel Hue have airport transportation?, ,Are any cleaning services offered at Homeland Hotel Hue?, ,Which languages are spoken by the staff at Homeland Hotel Hue?, ,Are there any historical sites close to Homeland Hotel Hue?, ",36,265,#60 of 209 hotels in Hue,40,30,152,Very good,25,"Budget,Quiet",2,https://www.tripadvisor.com/Hotel_Review-g293926-d1572907-Reviews-Homeland_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"1B Vo Thi Sau Street, Hue 08454 Vietnam",27,94,83,N/A,Ideal Hotel Hue,$55 ,$16 ,$16 - $55,"Which popular attractions are close to Ideal Hotel Hue?, ,What are some of the property amenities at Ideal Hotel Hue?, ,What food & drink options are available at Ideal Hotel Hue?, ,Is parking available at Ideal Hotel Hue?, ,What are some restaurants close to Ideal Hotel Hue?, ,Are there opportunities to exercise at Ideal Hotel Hue?, ,Are pets allowed at Ideal Hotel Hue?, ,Are there any historical sites close to Ideal Hotel Hue?, ,Is Ideal Hotel Hue accessible?, ",13,265,#101 of 209 hotels in Hue,35,30,191,Very good,35,Centrally Located,1,https://www.tripadvisor.com/Hotel_Review-g293926-d1720799-Reviews-Ideal_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"2 Luong The Vinh Street, Hue Vietnam",17,96,86,"English, Vietnamese",Thai Binh Hotel 2,$28 ,$16 ,$16 - $28,"Which popular attractions are close to Thai Binh Hotel 2?, ,What are some of the property amenities at Thai Binh Hotel 2?, ,Which room amenities are available at Thai Binh Hotel 2?, ,What food & drink options are available at Thai Binh Hotel 2?, ,Is parking available at Thai Binh Hotel 2?, ,What are some restaurants close to Thai Binh Hotel 2?, ,Does Thai Binh Hotel 2 have airport transportation?, ,Is Thai Binh Hotel 2 located near the city center?, ,Are any cleaning services offered at Thai Binh Hotel 2?, ,Are pets allowed at Thai Binh Hotel 2?, ",7,274,#61 of 209 hotels in Hue,40,20,94,Very good,218,"Mid-range,River View",5,https://www.tripadvisor.com/Hotel_Review-g293926-d613690-Reviews-Thai_Binh_Hotel_2-Hue_Thua_Thien_Hue_Province.html
"Number 12 Lane 66 le Loi Street Number 12, Lane 66 le Loi Street, Hue +84 54 Vietnam",26,93,43,N/A,Phong Lan (Wild Orchid) Guesthouse,$20 ,$12 ,$12 - $20,"Which popular attractions are close to Phong Lan (Wild Orchid) Guesthouse?, ,What are some of the property amenities at Phong Lan (Wild Orchid) Guesthouse?, ,What are some restaurants close to Phong Lan (Wild Orchid) Guesthouse?, ,Does Phong Lan (Wild Orchid) Guesthouse have airport transportation?, ,Are there any historical sites close to Phong Lan (Wild Orchid) Guesthouse?, ",16,281,#6 of 183 B&Bs / Inns in Hue,45,20,149,Excellent,15,"Centrally Located,Charming",2,https://www.tripadvisor.com/Hotel_Review-g293926-d1149750-Reviews-Phong_Lan_Wild_Orchid_Guesthouse-Hue_Thua_Thien_Hue_Province.html
